name,markup,category,width,height,frames,source
spr_cursor_placement_splotch_shadow,[icon:spr_cursor_placement_splotch_shadow],UI/Cursor,48,48,1,assets/animations/UI/Cursor/spr_cursor_placement_splotch_shadow.meta.toml
spr_cursor_placement_tile_indicator_furniture_invalid,[icon:spr_cursor_placement_tile_indicator_furniture_invalid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_furniture_invalid.meta.toml
spr_cursor_placement_tile_indicator_furniture_valid,[icon:spr_cursor_placement_tile_indicator_furniture_valid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_furniture_valid.meta.toml
spr_cursor_placement_tile_indicator_invalid_select,[icon:spr_cursor_placement_tile_indicator_invalid_select],UI/Cursor,48,48,6,assets/animations/UI/Cursor/spr_cursor_placement_tile_indicator_invalid_select.meta.toml
spr_cursor_placement_tile_indicator_invalid_step,[icon:spr_cursor_placement_tile_indicator_invalid_step],UI/Cursor,48,48,3,assets/animations/UI/Cursor/spr_cursor_placement_tile_indicator_invalid_step.meta.toml
spr_cursor_placement_tile_indicator_tool_invalid,[icon:spr_cursor_placement_tile_indicator_tool_invalid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_tool_invalid.meta.toml
spr_cursor_placement_tile_indicator_tool_valid,[icon:spr_cursor_placement_tile_indicator_tool_valid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_tool_valid.meta.toml
spr_cursor_placement_tile_indicator_valid_select,[icon:spr_cursor_placement_tile_indicator_valid_select],UI/Cursor,48,48,7,assets/animations/UI/Cursor/spr_cursor_placement_tile_indicator_valid_select.meta.toml
spr_cursor_placement_tile_indicator_valid_step,[icon:spr_cursor_placement_tile_indicator_valid_step],UI/Cursor,48,48,3,assets/animations/UI/Cursor/spr_cursor_placement_tile_indicator_valid_step.meta.toml
spr_cursor_placement_tile_indicator_winter_furniture_invalid,[icon:spr_cursor_placement_tile_indicator_winter_furniture_invalid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_winter_furniture_invalid.meta.toml
spr_cursor_placement_tile_indicator_winter_furniture_valid,[icon:spr_cursor_placement_tile_indicator_winter_furniture_valid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_winter_furniture_valid.meta.toml
spr_cursor_placement_tile_indicator_winter_tool_invalid,[icon:spr_cursor_placement_tile_indicator_winter_tool_invalid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_winter_tool_invalid.meta.toml
spr_cursor_placement_tile_indicator_winter_tool_valid,[icon:spr_cursor_placement_tile_indicator_winter_tool_valid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_indicator_winter_tool_valid.meta.toml
spr_cursor_placement_tile_shadow_furniture_invalid,[icon:spr_cursor_placement_tile_shadow_furniture_invalid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_shadow_furniture_invalid.meta.toml
spr_cursor_placement_tile_shadow_furniture_valid,[icon:spr_cursor_placement_tile_shadow_furniture_valid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_shadow_furniture_valid.meta.toml
spr_cursor_placement_tile_shadow_invalid_select,[icon:spr_cursor_placement_tile_shadow_invalid_select],UI/Cursor,48,48,6,assets/animations/UI/Cursor/spr_cursor_placement_tile_shadow_invalid_select.meta.toml
spr_cursor_placement_tile_shadow_invalid_step,[icon:spr_cursor_placement_tile_shadow_invalid_step],UI/Cursor,48,48,3,assets/animations/UI/Cursor/spr_cursor_placement_tile_shadow_invalid_step.meta.toml
spr_cursor_placement_tile_shadow_tool_invalid,[icon:spr_cursor_placement_tile_shadow_tool_invalid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_shadow_tool_invalid.meta.toml
spr_cursor_placement_tile_shadow_tool_valid,[icon:spr_cursor_placement_tile_shadow_tool_valid],UI NEW/Cursor,48,48,1,assets/animations/UI NEW/Cursor/spr_cursor_placement_tile_shadow_tool_valid.meta.toml
spr_cursor_placement_tile_shadow_valid_select,[icon:spr_cursor_placement_tile_shadow_valid_select],UI/Cursor,48,48,7,assets/animations/UI/Cursor/spr_cursor_placement_tile_shadow_valid_select.meta.toml
spr_cursor_placement_tile_shadow_valid_step,[icon:spr_cursor_placement_tile_shadow_valid_step],UI/Cursor,48,48,3,assets/animations/UI/Cursor/spr_cursor_placement_tile_shadow_valid_step.meta.toml
spr_cursor_placement_tree_splotch_indicator,[icon:spr_cursor_placement_tree_splotch_indicator],UI/Cursor,80,80,1,assets/animations/UI/Cursor/spr_cursor_placement_tree_splotch_indicator.meta.toml
spr_cursor_placement_tree_splotch_shadow,[icon:spr_cursor_placement_tree_splotch_shadow],UI/Cursor,80,80,1,assets/animations/UI/Cursor/spr_cursor_placement_tree_splotch_shadow.meta.toml
spr_cutscene_dialogue_circle_green_crack,[icon:spr_cutscene_dialogue_circle_green_crack],Cutscene/Seridia Reveal,15,13,5,assets/animations/Cutscene/Seridia Reveal/spr_cutscene_dialogue_circle_green_crack.meta.toml
spr_cutscene_dialogue_heart_shine,[icon:spr_cutscene_dialogue_heart_shine],Cutscene/Seridia Reveal,15,12,6,assets/animations/Cutscene/Seridia Reveal/spr_cutscene_dialogue_heart_shine.meta.toml
spr_cutscene_dialogue_poof,[icon:spr_cutscene_dialogue_poof],Cutscene/Seridia Reveal,32,32,10,assets/animations/Cutscene/Seridia Reveal/spr_cutscene_dialogue_poof.meta.toml
spr_cutscene_dialogue_silhouette,[icon:spr_cutscene_dialogue_silhouette],Cutscene/Seridia Reveal,17,14,18,assets/animations/Cutscene/Seridia Reveal/spr_cutscene_dialogue_silhouette.meta.toml
spr_deep_woods_caldarus_door_spring_doorway_floor_closed,[icon:spr_deep_woods_caldarus_door_spring_doorway_floor_closed],Locations/Deep Woods,1,1,1,assets/animations/Locations/Deep Woods/spr_deep_woods_caldarus_door_spring_doorway_floor_closed.meta.toml
spr_dingaling_heart,[icon:spr_dingaling_heart],UI/Dingalings,9,8,1,assets/animations/UI/Dingalings/spr_dingaling_heart.meta.toml
spr_farm_chest_wood_spring_closed,[icon:spr_farm_chest_wood_spring_closed],Locations/Farm/Exterior/Chest,32,32,1,assets/animations/Locations/Farm/Exterior/Chest/spr_farm_chest_wood_spring_closed.meta.toml
spr_fx_item_icon_sparkle,[icon:spr_fx_item_icon_sparkle],Item Icons/_SUB ICONS,18,18,10,assets/animations/Item Icons/_SUB ICONS/spr_fx_item_icon_sparkle.meta.toml
spr_hold_to_eat_bar,[icon:spr_hold_to_eat_bar],UI NEW,12,4,1,assets/animations/UI NEW/spr_hold_to_eat_bar.meta.toml
spr_illegal_16,[icon:spr_illegal_16],Meta,16,16,1,assets/animations/Meta/spr_illegal_16.meta.toml
spr_illegal_8,[icon:spr_illegal_8],Meta,8,8,1,assets/animations/Meta/spr_illegal_8.meta.toml
spr_inventory,[icon:spr_inventory],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,228,74,1,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory.meta.toml
spr_inventory_item_frame,[icon:spr_inventory_item_frame],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,20,20,1,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_item_frame.meta.toml
spr_inventory_scroll,[icon:spr_inventory_scroll],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,9,1,2,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_scroll.meta.toml
spr_inventory_select,[icon:spr_inventory_select],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,22,22,1,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_select.meta.toml
spr_inventory_select_shop,[icon:spr_inventory_select_shop],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,220,22,1,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_select_shop.meta.toml
spr_inventory_shop,[icon:spr_inventory_shop],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,236,74,1,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_shop.meta.toml
spr_inventory_slice,[icon:spr_inventory_slice],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,9,9,9,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_slice.meta.toml
spr_inventory_slices,[icon:spr_inventory_slices],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,16,16,9,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_inventory_slices.meta.toml
spr_item_obj_mask,[icon:spr_item_obj_mask],UI/Skill/Dingalings,16,16,1,assets/animations/UI/Skill/Dingalings/spr_item_obj_mask.meta.toml
spr_item_tessarrae_1,[icon:spr_item_tessarrae_1],Placeables/Objects/Items,18,18,1,assets/animations/Placeables/Objects/Items/spr_item_tessarrae_1.meta.toml
spr_item_tessarrae_10,[icon:spr_item_tessarrae_10],Placeables/Objects/Items,18,18,1,assets/animations/Placeables/Objects/Items/spr_item_tessarrae_10.meta.toml
spr_item_tessarrae_5,[icon:spr_item_tessarrae_5],Placeables/Objects/Items,18,18,1,assets/animations/Placeables/Objects/Items/spr_item_tessarrae_5.meta.toml
spr_loading_bird_cn,[icon:spr_loading_bird_cn],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_cn.meta.toml
spr_loading_bird_en,[icon:spr_loading_bird_en],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_en.meta.toml
spr_loading_bird_es,[icon:spr_loading_bird_es],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_es.meta.toml
spr_loading_bird_fr,[icon:spr_loading_bird_fr],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_fr.meta.toml
spr_loading_bird_jp,[icon:spr_loading_bird_jp],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_jp.meta.toml
spr_loading_bird_kr,[icon:spr_loading_bird_kr],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_kr.meta.toml
spr_loading_bird_ru,[icon:spr_loading_bird_ru],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_ru.meta.toml
spr_loading_bird_tw,[icon:spr_loading_bird_tw],UI NEW/Loading Screen,262,126,1,assets/animations/UI NEW/Loading Screen/spr_loading_bird_tw.meta.toml
spr_mask_chest,[icon:spr_mask_chest],Interact Masks,48,48,1,assets/animations/Interact Masks/spr_mask_chest.meta.toml
spr_mask_furniture_bed_single,[icon:spr_mask_furniture_bed_single],Interact Masks,80,80,1,assets/animations/Interact Masks/spr_mask_furniture_bed_single.meta.toml
spr_nothing,[icon:spr_nothing],Rain Spell,1,1,1,assets/animations/Rain Spell/spr_nothing.meta.toml
spr_nothing_nineslice,[icon:spr_nothing_nineslice],Rain Spell,1,1,9,assets/animations/Rain Spell/spr_nothing_nineslice.meta.toml
spr_npc_food_burger_eat_east,[icon:spr_npc_food_burger_eat_east],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_burger_eat_east.meta.toml
spr_npc_food_burger_eat_south,[icon:spr_npc_food_burger_eat_south],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_burger_eat_south.meta.toml
spr_npc_food_empty_sushi_plate_eat_east,[icon:spr_npc_food_empty_sushi_plate_eat_east],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_empty_sushi_plate_eat_east.meta.toml
spr_npc_food_empty_sushi_plate_eat_south,[icon:spr_npc_food_empty_sushi_plate_eat_south],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_empty_sushi_plate_eat_south.meta.toml
spr_npc_food_rice_beans_and_lettuce_eat_east,[icon:spr_npc_food_rice_beans_and_lettuce_eat_east],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_rice_beans_and_lettuce_eat_east.meta.toml
spr_npc_food_rice_beans_and_lettuce_eat_south,[icon:spr_npc_food_rice_beans_and_lettuce_eat_south],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_rice_beans_and_lettuce_eat_south.meta.toml
spr_npc_food_sushi_combo_eat_east,[icon:spr_npc_food_sushi_combo_eat_east],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_sushi_combo_eat_east.meta.toml
spr_npc_food_sushi_combo_eat_south,[icon:spr_npc_food_sushi_combo_eat_south],UI/NPC Food,18,18,1,assets/animations/UI/NPC Food/spr_npc_food_sushi_combo_eat_south.meta.toml
spr_pixel,[icon:spr_pixel],Meta,1,1,1,assets/animations/Meta/spr_pixel.meta.toml
spr_player_back_gear_pumpkin_backpack_back_gear,[icon:spr_player_back_gear_pumpkin_backpack_back_gear],Player/Back Accessory,32,32,59,assets/animations/Player/Back Accessory/spr_player_back_gear_pumpkin_backpack_back_gear.meta.toml
spr_shopinterface,[icon:spr_shopinterface],UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI,47,22,1,assets/animations/UI/Inventory/DELETE_ME_AFTER_IMPLEMENTING UI/spr_shopinterface.meta.toml
spr_skill_font,[icon:spr_skill_font],UI NEW/Fonts,8,8,17,assets/animations/UI NEW/Fonts/spr_skill_font.meta.toml
spr_square_centred,[icon:spr_square_centred],Meta,2,2,1,assets/animations/Meta/spr_square_centred.meta.toml
spr_temp_tile_cursor,[icon:spr_temp_tile_cursor],UI/Cursor,16,16,2,assets/animations/UI/Cursor/spr_temp_tile_cursor.meta.toml
spr_toast_nine_strip9,[icon:spr_toast_nine_strip9],UI/Toast,8,8,9,assets/animations/UI/Toast/spr_toast_nine_strip9.meta.toml
spr_toolbar_bake,[icon:spr_toolbar_bake],UI NEW/HUD,234,30,1,assets/animations/UI NEW/HUD/spr_toolbar_bake.meta.toml
spr_toolbar_slot,[icon:spr_toolbar_slot],UI NEW/HUD,20,20,1,assets/animations/UI NEW/HUD/spr_toolbar_slot.meta.toml
spr_toolbar_slot_selected,[icon:spr_toolbar_slot_selected],UI NEW/HUD,20,20,1,assets/animations/UI NEW/HUD/spr_toolbar_slot_selected.meta.toml
spr_ui_apiary_backplate,[icon:spr_ui_apiary_backplate],UI NEW/Apiaries and Terrariums,120,69,1,assets/animations/UI NEW/Apiaries and Terrariums/spr_ui_apiary_backplate.meta.toml
spr_ui_apiary_terrarium_checkbox_off,[icon:spr_ui_apiary_terrarium_checkbox_off],UI NEW/Apiaries and Terrariums,9,9,1,assets/animations/UI NEW/Apiaries and Terrariums/spr_ui_apiary_terrarium_checkbox_off.meta.toml
spr_ui_apiary_terrarium_checkbox_on,[icon:spr_ui_apiary_terrarium_checkbox_on],UI NEW/Apiaries and Terrariums,9,9,1,assets/animations/UI NEW/Apiaries and Terrariums/spr_ui_apiary_terrarium_checkbox_on.meta.toml
spr_ui_apiary_terrarium_guide_box,[icon:spr_ui_apiary_terrarium_guide_box],UI NEW/Apiaries and Terrariums,8,8,9,assets/animations/UI NEW/Apiaries and Terrariums/spr_ui_apiary_terrarium_guide_box.meta.toml
spr_ui_apiary_terrarium_guide_header_box,[icon:spr_ui_apiary_terrarium_guide_header_box],UI NEW/Apiaries and Terrariums,8,8,9,assets/animations/UI NEW/Apiaries and Terrariums/spr_ui_apiary_terrarium_guide_header_box.meta.toml
spr_ui_bark_bubble_large_closing,[icon:spr_ui_bark_bubble_large_closing],UI NEW/Barks,32,32,4,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_large_closing.meta.toml
spr_ui_bark_bubble_large_open,[icon:spr_ui_bark_bubble_large_open],UI NEW/Barks,32,32,2,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_large_open.meta.toml
spr_ui_bark_bubble_large_opening,[icon:spr_ui_bark_bubble_large_opening],UI NEW/Barks,32,32,4,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_large_opening.meta.toml
spr_ui_bark_bubble_speak_closing,[icon:spr_ui_bark_bubble_speak_closing],UI NEW/Barks,24,24,3,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_speak_closing.meta.toml
spr_ui_bark_bubble_speak_open,[icon:spr_ui_bark_bubble_speak_open],UI NEW/Barks,24,24,2,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_speak_open.meta.toml
spr_ui_bark_bubble_speak_opening,[icon:spr_ui_bark_bubble_speak_opening],UI NEW/Barks,24,24,3,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_speak_opening.meta.toml
spr_ui_bark_bubble_think_closing,[icon:spr_ui_bark_bubble_think_closing],UI NEW/Barks,24,24,3,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_think_closing.meta.toml
spr_ui_bark_bubble_think_open,[icon:spr_ui_bark_bubble_think_open],UI NEW/Barks,24,24,2,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_think_open.meta.toml
spr_ui_bark_bubble_think_opening,[icon:spr_ui_bark_bubble_think_opening],UI NEW/Barks,24,24,3,assets/animations/UI NEW/Barks/spr_ui_bark_bubble_think_opening.meta.toml
spr_ui_bark_icon_angry,[icon:spr_ui_bark_icon_angry],UI NEW/Barks,24,24,4,assets/animations/UI NEW/Barks/spr_ui_bark_icon_angry.meta.toml
spr_ui_bark_icon_annoyed,[icon:spr_ui_bark_icon_annoyed],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_annoyed.meta.toml
spr_ui_bark_icon_apiary,[icon:spr_ui_bark_icon_apiary],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_apiary.meta.toml
spr_ui_bark_icon_apiary_1,[icon:spr_ui_bark_icon_apiary_1],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_apiary_1.meta.toml
spr_ui_bark_icon_apiary_small,[icon:spr_ui_bark_icon_apiary_small],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_apiary_small.meta.toml
spr_ui_bark_icon_apiary_small_1,[icon:spr_ui_bark_icon_apiary_small_1],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_apiary_small_1.meta.toml
spr_ui_bark_icon_archaeology,[icon:spr_ui_bark_icon_archaeology],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_archaeology.meta.toml
spr_ui_bark_icon_archaeology_small,[icon:spr_ui_bark_icon_archaeology_small],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_archaeology_small.meta.toml
spr_ui_bark_icon_autumn,[icon:spr_ui_bark_icon_autumn],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_autumn.meta.toml
spr_ui_bark_icon_bathhouse,[icon:spr_ui_bark_icon_bathhouse],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_bathhouse.meta.toml
spr_ui_bark_icon_beach,[icon:spr_ui_bark_icon_beach],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_beach.meta.toml
spr_ui_bark_icon_blush,[icon:spr_ui_bark_icon_blush],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_blush.meta.toml
spr_ui_bark_icon_book,[icon:spr_ui_bark_icon_book],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_book.meta.toml
spr_ui_bark_icon_breath_of_flame,[icon:spr_ui_bark_icon_breath_of_flame],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_breath_of_flame.meta.toml
spr_ui_bark_icon_breed_female,[icon:spr_ui_bark_icon_breed_female],UI NEW/Barks,24,24,5,assets/animations/UI NEW/Barks/spr_ui_bark_icon_breed_female.meta.toml
spr_ui_bark_icon_breed_male,[icon:spr_ui_bark_icon_breed_male],UI NEW/Barks,24,24,5,assets/animations/UI NEW/Barks/spr_ui_bark_icon_breed_male.meta.toml
spr_ui_bark_icon_broken_heart,[icon:spr_ui_bark_icon_broken_heart],UI NEW/Barks,24,24,2,assets/animations/UI NEW/Barks/spr_ui_bark_icon_broken_heart.meta.toml
spr_ui_bark_icon_build,[icon:spr_ui_bark_icon_build],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_build.meta.toml
spr_ui_bark_icon_build_small,[icon:spr_ui_bark_icon_build_small],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_build_small.meta.toml
spr_ui_bark_icon_celebration,[icon:spr_ui_bark_icon_celebration],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_celebration.meta.toml
spr_ui_bark_icon_cherry_blossoms,[icon:spr_ui_bark_icon_cherry_blossoms],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_cherry_blossoms.meta.toml
spr_ui_bark_icon_chicken,[icon:spr_ui_bark_icon_chicken],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_chicken.meta.toml
spr_ui_bark_icon_chicken_small,[icon:spr_ui_bark_icon_chicken_small],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_chicken_small.meta.toml
spr_ui_bark_icon_coin,[icon:spr_ui_bark_icon_coin],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_coin.meta.toml
spr_ui_bark_icon_coin_small,[icon:spr_ui_bark_icon_coin_small],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_coin_small.meta.toml
spr_ui_bark_icon_cold_drink,[icon:spr_ui_bark_icon_cold_drink],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_cold_drink.meta.toml
spr_ui_bark_icon_cooking,[icon:spr_ui_bark_icon_cooking],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_cooking.meta.toml
spr_ui_bark_icon_cooking_small,[icon:spr_ui_bark_icon_cooking_small],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_cooking_small.meta.toml
spr_ui_bark_icon_cow,[icon:spr_ui_bark_icon_cow],UI NEW/Barks,24,24,1,assets/animations/UI NEW/Barks/spr_ui_bark_icon_cow.meta.toml
